name,cap_mw,none,latitude,longitude
MEJA STPP,660,1,25.1447,81.9415
MEJIA,1340,1,23.4639,87.1311
MEJIA TPS EXT,1000,1,23.4639,87.1311
MELAMARUTHUR (MUTHIARA),1200,1,8.9159,78.1374
METTUR,840,1,11.7696,77.8138
METTUR TPS EXT,600,1,11.7696,77.8138
MIHAN TPP,246,1,21.0377,78.9334
MORDI PLANT,46,1,23.5496,74.4072
MOUDA STPS,2320,1,21.1797,79.3978
MUDHOL CEMENT,50,1,16.2017,75.3005
MUL GRETA,15,1,20.0805,79.7148
MUNDRA TPP,4620,1,22.823,69.5532
MUNDRA UMPP,4000,1,22.8158,69.5281
MURBAD PLANT,15,1,19.261,73.3638
MUZAFFARPUR,610,1,26.1953,85.3017
NABI NAGAR TPP,500,1,24.7754,84.1588
NAGDA GRASIM,45.5,1,23.4469,75.408
NAGPUR SPONGE IRON,65,1,20.9276,79.2455
NASIK,630,1,19.9817,73.8896
NASIK SINNAR,270,1,19.8658,74.0835
NASIK TPP  PH 1,1350,1,19.9817,73.8896
NAWAPARA,600,1,21.92,83.2788
NEPANAGAR MILL,12.27,1,21.4504,76.4014
NEYVELI FST EXT,420,1,11.5887,79.4611
NEYVELI ST I,600,1,11.5893,79.4704
NEYVELI ST II,1470,1,11.5576,79.4417
NEYVELI TPS EXP -II,500,1,11.5534,79.4408
NEYVELI TPS(Z),250,1,11.5401,79.4159
NIGRI,1320,1,24.15,81.9045
NIMBAHERA JK CEMENT,33.2,1,24.6428,74.6843
NITIN PLANT,10.5,1,25.2042,74.6092
NORTH CHENNAI,630,1,13.245,80.3257
NORTH CHENNAI EXTENSION,1200,1,13.245,80.3257
OBRA-A,1188,1,24.4448,82.9803
PAINAMPURAM,1320,1,14.3512,80.1431
PANIPAT,920,1,29.3975,76.8763
PANKI,210,1,26.4766,80.241
PARAS,500,1,20.7147,76.7948
PARICHA,1140,1,25.5124,78.7588
PARLI,1170,1,18.8685,76.5254
PATHADI TPS PH -I,600,1,22.2454,82.7246
PRYAGRAJ (BARA) TPP,1980,1,25.196,81.6594
PUNE MILL,30,1,18.2417,74.7531
R_GUNDEM - B,62.5,1,18.7695,79.4494
R_GUNDEM STPS,2600,1,18.7572,79.456
RABRIYAWAS CEMENT,18.7,1,26.2984,74.1234
RAGHUNATHPUR TPP PH-I,1200,1,23.622,86.661
RAICHUR,1720,1,16.3532,77.3422
RAICHUR STEEL,35,1,16.3027,77.3608
RAIGARH TPP,1000,1,21.9846,83.2331
RAIKHEDA,1370,1,21.4499,81.8525
RAJASHREE CEMENT,38.5,1,17.1427,77.1749
RAJGHAT,135,1,28.6361,77.2542
RAJIV GANDHI  TPS HISAR,1200,1,29.356,75.869
RAJPURA DARIBA MINE,160,1,24.9643,74.1197
RAJPURA TPP,1400,1,30.557,76.577
RAS CEMENT PLANT,36,1,26.263,74.1878
RATIJA TPP,100,1,22.3404,82.493
RAYAL SEEMA,1650,1,14.704,78.4577
RIHAND,3000,1,24.027,82.7915
ROPAR,1260,1,31.0417,76.5847
ROSA TPP PH - 1,1200,1,27.818,79.936
SAGARDIGHI TPP,1600,1,24.3696,88.1046
SALAYA TPP,1200,1,22.3049,69.7101
SALORA,135,1,22.49,82.6062
SANJAY GANDHI,1340,1,23.3026,81.0668
SANTALDIH,500,1,23.6013,86.4666
SASAN UMPP,3960,1,23.9784,82.6275
SATNA CEMENT PLANT,29,1,24.5959,80.858
SATPURA,1330,1,22.11,78.173
SEIONI TPP,600,1,22.7355,79.9123
SEMBCORP GAYATRI,1320,1,14.351,80.1443
SHREE MEGA POWER,300,1,26.0743,74.3858
Shri Singaji MALWA TPP,1200,1,22.0971,76.5317
SHRIRAM RAYONS PLANT,40,1,25.1296,75.8832
SIKKA REP.,500,1,22.4208,69.8276
SIMHADRI,2000,1,17.591,83.0917
SIMHAPURI TPP,600,1,14.2133,80.0838
SINGARENI TPP,1200,1,18.8372,79.5748
SINGRAULI STPS,2000,1,24.1033,82.7068
SIPAT STPS,2980,1,22.13,82.293
SITAPURAM POWER LIMITED,43,1,16.8301,80.0407
SOLAPUR STPP,660,1,31.7537,77.246
SOUTHERN REPL.,135,1,22.5488,88.2926
STERLITE TPP,600,1,21.8144,84.0404
SURAT LIG.,500,1,21.397,73.106
SURATGARH,1500,1,29.179,74.0202
SVPL,63,1,22.2915,82.5257
SWASTIK KORBA,25,1,22.3005,82.7047
TADALI,600,1,20.0116,79.2036
TADALI SPONGE IRON,33,1,20.0123,79.1863
TALCHER,460,1,20.9099,85.2072
TALCHER STPS,3000,1,21.0966,85.074
TALWANDI SABO,1980,1,29.924,75.2372
TAMNAR TPP,2400,1,22.0987,83.4513
TANDA,440,1,26.586,82.602
TENUGHAT,420,1,23.7573,85.8936
THAMMINAPATNAM TPP,300,1,14.2133,80.0838
TIRORA TPP,3300,1,21.4129,79.9671
TITAGARH,240,1,22.7318,88.371
TORANGALLU EXT,600,1,15.1839,76.6622
TORANGALLU IMP,260,1,15.1839,76.6622
TORR POWER SAB.,422,1,23.0701,72.5933
TROMBAY_Coal,750,1,19.0004,72.8983
TUTICORIN,1050,1,8.7635,78.1753
TUTICORIN- IND BARATH,300,1,8.7635,78.1753
TUTICORIN JV,1000,1,8.7603,78.1699
UCHPINDA TPP,1080,1,21.8858,83.1215
UDUPI TPP,1200,1,13.1596,74.8002
UKAI_Coal,1110,1,21.2093,73.5574
UNCHAHAR,1550,1,25.9131,81.3274
UTRAULA TPP,90,1,27.3455,82.3166
VALLUR ntpc/ntecl,1500,1,13.2371,80.3023
VARDHAM BUDNI,25.8,1,22.7808,77.6515
VARDHAM SATLAPUR,30.75,1,23.0752,77.5526
VASAVADATTA CEMENT,50.7,1,17.1605,77.293
VIJAYWADA,1260,1,16.5984,80.537
VIJAYWADA TPP-IV,500,1,16.5973,80.5382
VIKRAM CEMENT,46,1,24.5753,74.8012
VINDH_CHAL STPS,4760,1,24.0983,82.6719
VIZAG TPP,1040,1,17.5635,83.1382
WADI CEMENT PLANT,75,1,17.0552,76.9775
WANAKBORI,1470,1,22.8725,73.3588
WARDHA WARORA(Sai Wardha Power),540,1,20.2727,78.9792
WARDHA WORKS,80,1,20.6964,78.6385
YAMUNANAGAR TPP,600,1,30.1081,77.3257
YERMARUS TPP,1600,1,16.2949,77.3568
ZAWAR MINES,80,1,24.35,73.7477
