name,cap_mw,none,latitude,longitude
PAITHON,12,1,19.4834,75.3696
PALLIVASAL,37.5,1,10.0314,77.0548
PANCHET,80,1,23.6815,86.7473
PANNIAR,30,1,9.9731,77.0281
PAPANASAM,32,1,8.7065,77.3627
PARBATI-III,520,1,31.7398,77.2576
PARSEN_S VALLE,30,1,11.3646,76.6045
PATHRI,20.4,1,29.9274,78.0415
PAWANA,10,1,18.6814,73.4948
PENCH,160,1,21.4813,79.2086
PENNA AHOBELAM,20,1,14.6859,77.7147
PERIYAR,161,1,9.6266,77.1905
POCHAMPAD,27,1,18.9766,78.2563
PONG,396,1,31.9667,75.9469
PORINGALKUTTU,32,1,10.3118,76.617
PORINGALKUTTU L,16,1,10.3118,76.617
PRIYADARSHNI JURALA,234,1,16.3328,77.7036
PULICHINTALA,90,1,16.7739,80.0525
PURULIA PSS,900,1,23.1975,86.097
PYKARA,59.2,1,11.5336,76.6011
PYKARA ALIMATE,150,1,11.5336,76.6011
R.P.SAGAR,172,1,24.9174,75.5794
RADHANAGRI,4.8,1,16.4072,73.9616
RAJGHAT (MP),45,1,24.7635,78.2322
RAMGANGA,198,1,29.5169,78.7574
RAMMAM,50,1,27.114,88.1376
RAMPUR,412.02,1,31.4,77.5927
RANGANADI,405,1,27.3426,93.8168
RANGIT-III,60,1,27.2949,88.2921
RANJIT SAGAR,600,1,32.4404,75.7305
RENGALI,250,1,21.2759,85.0355
RIHAND_Hydro,300,1,24.1778,83.0361
RMC MANGROL,6,1,25.1732,75.832
S.SAROVAR CHPH,250,1,21.8376,73.7559
S.SAROVAR RBPH,1200,1,21.8301,73.7501
SABARIGIRI,300,1,9.3098,77.0727
SALAL I & II,690,1,33.142,74.8097
SANJAY BHABA,120,1,31.2642,78.4835
SARKARPATHY,30,1,10.4558,76.8302
SENGULAM,48,1,9.976,77.0309
SERVALAR,20,1,8.6895,77.3048
SEWA-II,120,1,32.6762,75.8215
SEWA-III,9,1,32.6029,75.9006
SHANAN,110,1,31.9894,76.8072
SHARAVATHY,1035,1,14.2352,74.7673
SHARAVATHY TAIL RACE (Gerusupa),240,1,14.2352,74.7673
SHIMSAPURA,17.2,1,12.3409,77.1906
SHOLAYAR,54,1,10.3046,76.7305
