name,cap_mw,none,latitude,longitude
Shiloj Solar Power Plant,10,1,20.8183,71.0063
Shirsoli Solar Power Plant,8.5,1,17.4999,75.781
Shivasamundra Solar Power Plant,5,1,12.3003,77.1638
Shivlakha - Backbone Solar Power Plant,5,1,23.3585,70.6206
Shivlakha - CPEC Solar Power Plant,5,1,23.383,70.6146
Shivlakha - Konark Solar Power Plant,5,1,23.3654,70.6268
Singrauli Solar Power Plant,15,1,24.1185,82.6415
Sivaganga Solar Power Plant,5,1,9.8043,78.4487
Solitaire Solar Power Plant,15,1,23.9116,71.9324
Supe Solar Power Plant,2,1,18.3198,74.3686
Talcher Kaniha Solar Power Plant,10,1,21.0866,85.0987
Teona Pujarian Solar Power Plant,22,1,27.4137,72.1577
Tinwari - MB Solar Power Plant,5,1,26.5182,72.8536
Vastan Solar Power Plant,5,1,21.4239,73.1273
Wadgam Solar Power Plant,15,1,22.3172,72.4397
Warora Solar Power Plant,25,1,20.301,79.0237
Yelesandra Solar Power Plant,3,1,12.8932,78.1654
