name,cap_mw,none,latitude,longitude
DAE RAJASTHAN,100,1,24.8747,75.6189
KAIGA,880,1,14.865,74.4385
KAKRAPARA,440,1,21.2384,73.3489
Kudankulam,2000,1,8.1689,77.7126
KUNDANKULAM,2000,1,8.1691,77.1327
M.A.P.P.,440,1,12.5571,80.1754
N.A.P.S,440,1,28.156,78.4089
R.A.P.S.,1080,1,24.8747,75.6189
TARAPUR,1400,1,19.8294,72.6617
